model,color,scene,condition,trial_number,trajectory_csv,active_motion_fraction,max_displacement_from_start_rad,progress_efficiency,endpoint_directness
Baseline,pink,solo,pink_solo,10,trajectory_results/Baseline_20k_b64_pink_solo_n30/trial_010_trajectory.csv,0.5552731893265566,1.439801276828346,0.2542913646928625,0.06580736734518824
Baseline,black,solo,black_solo,1,trajectory_results/Baseline_20k_b64_black_solo_n30/trial_001_trajectory.csv,0.38846153846153847,0.12321334209956743,0.04405296582455486,0.010913682840671146
Baseline,black,solo,black_solo,2,trajectory_results/Baseline_20k_b64_black_solo_n30/trial_002_trajectory.csv,0.3811944091486658,0.1673314292277994,0.061965434369700305,0.045444877382898166
Baseline,black,solo,black_solo,3,trajectory_results/Baseline_20k_b64_black_solo_n30/trial_003_trajectory.csv,0.5552731893265566,0.27534982808854774,0.06336590099255933,0.015811211087505654
Baseline,black,solo,black_solo,4,trajectory_results/Baseline_20k_b64_black_solo_n30/trial_004_trajectory.csv,0.9682337992376112,3.464288369145319,0.3258411058242718,0.32318493509321866
Baseline,black,solo,black_solo,5,trajectory_results/Baseline_20k_b64_black_solo_n30/trial_005_trajectory.csv,0.9301143583227446,0.7617936209890472,0.08682582973248887,0.03780808472608819
Baseline,black,solo,black_solo,6,trajectory_results/Baseline_20k_b64_black_solo_n30/trial_006_trajectory.csv,0.6543837357052097,0.1596665240309142,0.032012715944195545,0.01994239245530832
Baseline,black,solo,black_solo,7,trajectory_results/Baseline_20k_b64_black_solo_n30/trial_007_trajectory.csv,0.8384223918575063,0.33894773274694256,0.0447282959503238,0.034221041502688565
Baseline,black,solo,black_solo,8,trajectory_results/Baseline_20k_b64_black_solo_n30/trial_008_trajectory.csv,0.6848792884371029,0.22792975879875277,0.040627681360467204,0.016777393784857153
Baseline,black,solo,black_solo,9,trajectory_results/Baseline_20k_b64_black_solo_n30/trial_009_trajectory.csv,0.9135959339263025,0.2787192005371272,0.031689073161110734,0.017176291212983863
Baseline,black,solo,black_solo,10,trajectory_results/Baseline_20k_b64_black_solo_n30/trial_010_trajectory.csv,0.6810673443456162,0.1891673034342209,0.03440357817586595,0.026545363828272352
Baseline,pink,both,pink_both,1,trajectory_results/Baseline_20k_b64_pink_both_n30/trial_001_trajectory.csv,0.9705128205128205,1.562744073965799,0.1388852627389177,0.037475545530562454
Baseline,pink,both,pink_both,2,trajectory_results/Baseline_20k_b64_pink_both_n30/trial_002_trajectory.csv,0.8905852417302799,0.28085310640559846,0.0348456412003502,0.014546068838084264
Baseline,pink,both,pink_both,3,trajectory_results/Baseline_20k_b64_pink_both_n30/trial_003_trajectory.csv,0.7560355781448539,3.141859350552981,0.37320422892459226,0.37320422892459226
Baseline,pink,both,pink_both,4,trajectory_results/Baseline_20k_b64_pink_both_n30/trial_004_trajectory.csv,0.9428934010152284,1.350255861840782,0.13055906565667033,0.09416591861235932
Baseline,pink,both,pink_both,5,trajectory_results/Baseline_20k_b64_pink_both_n30/trial_005_trajectory.csv,0.8794416243654822,0.4191686785359679,0.04989360092629454,0.041598901869517674
Baseline,pink,both,pink_both,6,trajectory_results/Baseline_20k_b64_pink_both_n30/trial_006_trajectory.csv,0.3634053367217281,0.10540674293904939,0.050217722947793045,0.0477699150538636
Baseline,pink,both,pink_both,7,trajectory_results/Baseline_20k_b64_pink_both_n30/trial_007_trajectory.csv,0.9746192893401016,2.289178630852423,0.19982384706259032,0.19217217921021143
Baseline,pink,both,pink_both,8,trajectory_results/Baseline_20k_b64_pink_both_n30/trial_008_trajectory.csv,0.8221092757306226,1.8758041090008541,0.20782759161644673,0.09726121464187035
Baseline,pink,both,pink_both,9,trajectory_results/Baseline_20k_b64_pink_both_n30/trial_009_trajectory.csv,0.3519695044472681,0.1421981496285216,0.05031404133251321,0.03239062625162896
Baseline,pink,both,pink_both,10,trajectory_results/Baseline_20k_b64_pink_both_n30/trial_010_trajectory.csv,0.7786259541984732,0.2894713829460228,0.0401263906156394,0.013575321739246854
Baseline,black,both,black_both,1,trajectory_results/Baseline_20k_b64_black_both_n30/trial_001_trajectory.csv,0.8141025641025641,0.34017885842852535,0.044750439789032787,0.02684759013387189
Baseline,black,both,black_both,2,trajectory_results/Baseline_20k_b64_black_both_n30/trial_002_trajectory.csv,0.9415501905972046,0.4088498165450275,0.0407136137988449,0.015532454364227094
Baseline,black,both,black_both,3,trajectory_results/Baseline_20k_b64_black_both_n30/trial_003_trajectory.csv,0.9567430025445293,0.4192670725608633,0.04304669544918383,0.0372880329738446
Baseline,black,both,black_both,4,trajectory_results/Baseline_20k_b64_black_both_n30/trial_004_trajectory.csv,0.8526048284625158,0.29220140053909416,0.03689375469628011,0.018258093837385154
