metric,label,ours_n,ours_median,ours_q1,ours_q3,baseline_n,baseline_median,baseline_q1,baseline_q3,median_difference_ours_minus_baseline,median_difference_ci_low,median_difference_ci_high,cliffs_delta,mann_whitney_u,p_value,holm_adjusted_p
active_motion_fraction,Active motion fraction,34,0.9354628241434839,0.9078375156776511,0.9610296595888103,34,0.8104820317336201,0.6820203303684879,0.9259847522236341,0.12498079240986382,0.05854026674899748,0.2084374303036256,0.5069204152249135,871.0,0.0003335528792162802,0.0003335528792162802
max_displacement_from_start_rad,Maximum displacement from start,34,3.1603849406979263,1.8611277012996825,3.560231370146814,34,0.33956329558773396,0.22977783930846069,1.5320083746814357,2.8208216451101924,2.0742159804190923,3.0240030514327394,0.745674740484429,1009.0,1.2895782824693726e-07,4.2169584081252866e-07
progress_efficiency,Progress efficiency,34,0.3478411369728046,0.20492939679943578,0.3885756260061974,34,0.05005566193704379,0.04064916447006163,0.18458920098167217,0.2977854750357608,0.21101609211133016,0.32469947218130013,0.7508650519031141,1012.0,1.0542396020313216e-07,4.2169584081252866e-07
endpoint_directness,Endpoint directness,34,0.30471145516734816,0.11410194093693406,0.3762591634952086,34,0.03330583387715876,0.018442721490981997,0.08707628079556655,0.2714056212901894,0.1936789522515896,0.3369168900626334,0.740484429065744,1006.0,1.5753810477863985e-07,4.2169584081252866e-07
