trial,cycle,observation_time_s,command_time_s,success_marker,measured_shoulder_pan_deg,measured_shoulder_pan_rad,measured_shoulder_lift_deg,measured_shoulder_lift_rad,measured_elbow_flex_deg,measured_elbow_flex_rad,measured_wrist_flex_deg,measured_wrist_flex_rad,measured_wrist_roll_deg,measured_wrist_roll_rad,measured_gripper_hw,measured_gripper_norm,policy_shoulder_pan_rad,policy_shoulder_lift_rad,policy_elbow_flex_rad,policy_wrist_flex_rad,policy_wrist_roll_rad,policy_gripper_norm,sent_shoulder_pan_deg,sent_shoulder_pan_rad,sent_shoulder_lift_deg,sent_shoulder_lift_rad,sent_elbow_flex_deg,sent_elbow_flex_rad,sent_wrist_flex_deg,sent_wrist_flex_rad,sent_wrist_roll_deg,sent_wrist_roll_rad,sent_gripper_hw,sent_gripper_norm,gripper_hard_clamped,gripper_step_clamped,gripper_correction_hw,urdf_violation_shoulder_pan_deg,step_violation_shoulder_pan_deg,safety_correction_shoulder_pan_deg,urdf_violation_shoulder_lift_deg,step_violation_shoulder_lift_deg,safety_correction_shoulder_lift_deg,urdf_violation_elbow_flex_deg,step_violation_elbow_flex_deg,safety_correction_elbow_flex_deg,urdf_violation_wrist_flex_deg,step_violation_wrist_flex_deg,safety_correction_wrist_flex_deg,urdf_violation_wrist_roll_deg,step_violation_wrist_roll_deg,safety_correction_wrist_roll_deg
3,0,0.0013748949859291315,0.1796819280134514,False,-11.472527503967285,-0.2002333700656891,-94.28571319580078,-1.6455961465835571,91.38461303710938,1.5949623584747314,78.54945373535156,1.3709465265274048,92.92308044433594,1.6218136548995972,0.7554945054945055,0.007554945054945055,-0.2114330530166626,-1.6288758516311646,1.5129929780960083,1.3720893859863281,1.6252503395080566,0.00026173144578933716,-12.11422061920166,-0.21143303611805517,-93.32770538330078,-1.6288757422698352,87.38461303710938,1.5251492130787205,78.61492919921875,1.3720893557485965,93.11997985839844,1.6252502479198558,0.026173144578933716,0.00026173144578933716,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696502685546875,0.696502685546875,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.1811986139509827,0.1915254610357806,False,-11.472527503967285,-0.2002333700656891,-94.28571319580078,-1.6455961465835571,91.38461303710938,1.5949623584747314,78.54945373535156,1.3709465265274048,92.92308044433594,1.6218136548995972,0.7554945054945055,0.007554945054945055,-0.19806215167045593,-1.6838750839233398,1.6096872091293335,1.3676984310150146,1.627511739730835,-0.0012675300240516663,-11.348124504089355,-0.19806213652260796,-96.47892761230469,-1.683874945627988,92.22827911376953,1.6096871339835963,78.36334228515625,1.3676983357432737,93.24954986572266,1.6275116711594966,0.0,0.0,True,False,0.12675300240516663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0.21531648794189095,0.2274262229911983,False,-11.472527503967285,-0.2002333700656891,-94.28571319580078,-1.6455961465835571,91.38461303710938,1.5949623584747314,78.54945373535156,1.3709465265274048,92.92308044433594,1.6218136548995972,0.7554945054945055,0.007554945054945055,-0.19630315899848938,-1.6762752532958984,1.6102354526519775,1.3679978847503662,1.6319884061813354,0.0002978220582008362,-11.247342109680176,-0.19630315191212425,-96.04349517822266,-1.6762752159832834,92.25968933105469,1.610235345693989,78.38050079345703,1.3679978082078532,93.50604248046875,1.6319883117938652,0.029782205820083618,0.0002978220582008362,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.24866404302883893,0.26050655799917877,False,-11.472527503967285,-0.2002333700656891,-94.28571319580078,-1.6455961465835571,91.38461303710938,1.5949623584747314,78.54945373535156,1.3709465265274048,92.92308044433594,1.6218136548995972,0.6868131868131868,0.006868131868131868,-0.1959751844406128,-1.707062840461731,1.6072540283203125,1.3712151050567627,1.6206766366958618,0.0007283985614776611,-11.22854995727539,-0.19597516697912418,-97.80748748779297,-1.7070626897651444,92.0888671875,1.6072539368536454,78.56483459472656,1.3712150399627234,92.85792541503906,1.6206765350637538,0.07283985614776611,0.0007283985614776611,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.282078922027722,0.2929473449476063,False,-11.472527503967285,-0.2002333700656891,-94.72527313232422,-1.6532678604125977,91.56044006347656,1.5980311632156372,78.54945373535156,1.3709465265274048,92.92308044433594,1.6218136548995972,0.6868131868131868,0.006868131868131868,-0.20261648297309875,-1.6686310768127441,1.5512877702713013,1.3745914697647095,1.6227548122406006,0.0006410181522369385,-11.609068870544434,-0.20261647488177972,-95.60551452636719,-1.6686310115483745,88.88224029541016,1.5512877397036846,78.75828552246094,1.3745913955927258,92.97699737548828,1.622754732820397,0.06410181522369385,0.0006410181522369385,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.31553242600057274,0.3262239369796589,False,-11.472527503967285,-0.2002333700656891,-95.16483306884766,-1.6609396934509277,91.56044006347656,1.5980311632156372,78.54945373535156,1.3709465265274048,92.92308044433594,1.6218136548995972,0.6868131868131868,0.006868131868131868,-0.20566612482070923,-1.655424952507019,1.501236915588379,1.3744093179702759,1.6341670751571655,0.0005851462483406067,-11.78380012512207,-0.2056661105802999,-94.8488540649414,-1.655424795176835,87.56044006347656,1.5282179736028187,78.74784851074219,1.3744092353741644,93.63087463378906,1.6341670438816591,0.05851462483406067,0.0005851462483406067,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5459060668945312,1.5459060668945312,0.0,0.0,0.0,0.0,0.0,0.0
3,6,0.34923043195158243,0.3595653729280457,False,-11.472527503967285,-0.2002333700656891,-95.86813354492188,-1.6732145547866821,91.56044006347656,1.5980311632156372,78.54945373535156,1.3709465265274048,92.92308044433594,1.6218136548995972,0.6868131868131868,0.006868131868131868,-0.20234444737434387,-1.632742166519165,1.4933339357376099,1.3737025260925293,1.6276116371154785,0.001752413809299469,-11.59348201751709,-0.20234443297642812,-93.54923248291016,-1.6327421195404122,87.56044006347656,1.5282179736028187,78.70735168457031,1.3737024324208573,93.2552719116211,1.6276115397003745,0.1752413809299469,0.001752413809299469,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9987106323242188,1.9987106323242188,0.0,0.0,0.0,0.0,0.0,0.0
3,7,0.38236754992976785,0.39388743904419243,False,-11.472527503967285,-0.2002333700656891,-95.78022003173828,-1.671680212020874,91.12088012695312,1.5903593301773071,78.54945373535156,1.3709465265274048,92.92308044433594,1.6218136548995972,0.6868131868131868,0.006868131868131868,-0.20220015943050385,-1.6727451086044312,1.5722142457962036,1.3704420328140259,1.6259257793426514,0.00027892738580703735,-11.58521556854248,-0.2022001562243731,-95.84123229980469,-1.6727450628003289,90.08123779296875,1.5722141937592549,78.52053833007812,1.3704419242982733,93.15867614746094,1.6259256255722998,0.027892738580703735,0.00027892738580703735,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,0.41566165001131594,0.4269238229608163,False,-11.384614944458008,-0.1986990123987198,-94.989013671875,-1.6578710079193115,90.85713958740234,1.5857561826705933,78.54945373535156,1.3709465265274048,92.92308044433594,1.6218136548995972,0.6868131868131868,0.006868131868131868,-0.20620699226856232,-1.6649892330169678,1.5298775434494019,1.3711202144622803,1.6236313581466675,0.0019440054893493652,-11.814789772033691,-0.20620698195293818,-95.3968505859375,-1.6649891387576912,87.65552520751953,1.5298775224361016,78.55939483642578,1.3711200982698621,93.0272216796875,1.6236313122931967,0.19440054893493652,0.0019440054893493652,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,0.4492305900203064,0.46086016995832324,False,-11.296703338623047,-0.19716466963291168,-94.9011001586914,-1.6563366651535034,90.85713958740234,1.5857561826705933,78.54945373535156,1.3709465265274048,92.92308044433594,1.6218136548995972,0.6868131868131868,0.006868131868131868,-0.2114044725894928,-1.6339547634124756,1.4616293907165527,1.3723540306091309,1.626996636390686,0.0007555931806564331,-12.11258316040039,-0.21140445707060726,-93.61870574951172,-1.6339546567847252,86.85713958740234,1.51594306466448,78.63008880615234,1.3723539408028957,93.22003173828125,1.6269964826466208,0.07555931806564331,0.0007555931806564331,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1119461059570312,3.1119461059570312,0.0,0.0,0.0,0.0,0.0,0.0
