trial,completed,success,success_time_s,termination_reason,num_cycles,effective_observation_hz,overall_rms_jerk_rad_s3,rms_velocity_rad_s,rms_acceleration_rad_s2,joint_path_length_rad,urdf_violation_joint_count,urdf_violation_cycle_count,urdf_violation_cycle_rate,max_urdf_violation_deg,mean_urdf_violation_deg_over_violations,step_clamp_joint_count,step_clamp_cycle_count,step_clamp_cycle_rate,mean_safety_correction_deg,max_safety_correction_deg,mean_safety_correction_l2_deg,gripper_hard_clamp_count,gripper_step_clamp_count,shoulder_pan_rms_jerk_rad_s3,shoulder_pan_urdf_violation_count,shoulder_pan_step_clamp_count,shoulder_lift_rms_jerk_rad_s3,shoulder_lift_urdf_violation_count,shoulder_lift_step_clamp_count,elbow_flex_rms_jerk_rad_s3,elbow_flex_urdf_violation_count,elbow_flex_step_clamp_count,wrist_flex_rms_jerk_rad_s3,wrist_flex_urdf_violation_count,wrist_flex_step_clamp_count,wrist_roll_rms_jerk_rad_s3,wrist_roll_urdf_violation_count,wrist_roll_step_clamp_count
1,True,False,,duration_elapsed,777,25.87435926803821,320.656840336064,0.2473202869644411,7.027099421883113,12.01763689904422,0,0,0.0,0.0,0.0,861,584,0.7516087516087516,3.4906751394578697,67.9573974609375,12.98268941650338,416,0,416.4669923228593,0,12,488.478575251004,0,476,168.27320112033024,0,372,99.69094794780676,0,1,252.57437870818578,0,0
2,True,False,,duration_elapsed,782,26.040951255095226,252.4501324076012,0.236916686139222,5.348964631221717,11.702885592069888,0,0,0.0,0.0,0.0,1221,677,0.8657289002557544,4.006204670393253,64.58281707763672,15.090463415915773,145,108,265.6270593888538,0,15,278.0513667690433,0,517,159.3668358625391,0,417,179.75936946823592,0,15,336.2645242021804,0,257
3,True,False,,duration_elapsed,775,25.808787411201376,225.46234188930347,0.21097530406668977,4.802584985160691,9.96767246923077,0,0,0.0,0.0,0.0,1063,638,0.8232258064516129,3.227360496828633,55.59904098510742,12.83419888003673,42,85,223.66668468023283,0,14,253.1824278786092,0,453,139.9168793440315,0,393,189.96173515681733,0,17,290.47550065286174,0,186
4,True,True,29.96818789409008,success_confirmed,782,26.06235083676134,279.7551965875817,0.23959484379375115,5.983235932307516,11.520478976445759,0,0,0.0,0.0,0.0,1112,657,0.8412291933418694,3.2458245866887854,71.54869842529297,12.38764430859998,84,55,315.8381942751982,0,40,363.8676615337549,0,452,158.944480555526,0,525,262.59908713241117,0,53,254.83285022516185,0,42
