trial,completed,success,success_time_s,termination_reason,num_cycles,effective_observation_hz,overall_rms_jerk_rad_s3,rms_velocity_rad_s,rms_acceleration_rad_s2,joint_path_length_rad,urdf_violation_joint_count,urdf_violation_cycle_count,urdf_violation_cycle_rate,max_urdf_violation_deg,mean_urdf_violation_deg_over_violations,step_clamp_joint_count,step_clamp_cycle_count,step_clamp_cycle_rate,mean_safety_correction_deg,max_safety_correction_deg,mean_safety_correction_l2_deg,gripper_hard_clamp_count,gripper_step_clamp_count,shoulder_pan_rms_jerk_rad_s3,shoulder_pan_urdf_violation_count,shoulder_pan_step_clamp_count,shoulder_lift_rms_jerk_rad_s3,shoulder_lift_urdf_violation_count,shoulder_lift_step_clamp_count,elbow_flex_rms_jerk_rad_s3,elbow_flex_urdf_violation_count,elbow_flex_step_clamp_count,wrist_flex_rms_jerk_rad_s3,wrist_flex_urdf_violation_count,wrist_flex_step_clamp_count,wrist_roll_rms_jerk_rad_s3,wrist_roll_urdf_violation_count,wrist_roll_step_clamp_count
1,True,False,,duration_elapsed,777,25.886175031788866,244.36613207023746,0.22836446796128404,5.167408291415241,10.50875133484652,4,4,0.005148005148005148,0.441558837890625,0.3032417297363281,886,470,0.6048906048906049,3.16670564980734,80.43450164794922,11.772989936067257,12,160,154.4848702397609,0,1,259.3745770400877,4,356,173.41922964857685,0,312,313.9325168617503,0,80,280.723051800283,0,137
2,True,False,,duration_elapsed,783,26.092330185959696,216.81831791579782,0.1993369594701978,4.512916013669552,8.90184138536842,37,37,0.04725415070242656,1.052032470703125,0.3797658971838049,848,488,0.6232439335887612,2.367161959292674,64.74109649658203,8.76695498181101,5,111,162.3977291090634,0,9,339.1837676927415,37,376,157.03895457915215,0,348,191.0928408192535,0,57,180.15148393912875,0,58
3,True,False,,duration_elapsed,782,26.06121892704529,242.49710114709626,0.21790788822210594,5.146493867301283,9.436557781752466,0,0,0.0,0.0,0.0,720,434,0.5549872122762148,2.885631679269054,81.95594787597656,10.856771931657569,50,101,177.36575487930907,0,0,300.5511036265639,0,228,162.34571455500046,0,333,290.75948571753094,0,108,247.6639534925822,0,51
4,True,False,,duration_elapsed,783,26.07677637642504,227.10117356670858,0.20885293234873295,4.847834772116633,9.51768026652772,57,57,0.07279693486590039,2.1061248779296875,0.8807691607558936,862,558,0.7126436781609196,2.4716766051101198,72.10584259033203,9.918203147890504,128,110,248.7247629503242,0,27,270.69726239134815,55,352,152.21485693452226,0,327,199.3210246928645,2,70,244.61289019552004,0,86
5,True,False,,duration_elapsed,784,26.107573701893987,245.54230859550944,0.22939842822395456,5.158144423291903,10.760091728862465,35,35,0.044642857142857144,1.528533935546875,0.7021283830915178,1054,603,0.7691326530612245,4.416777847635046,79.91191101074219,17.447195983740233,124,180,273.3042075601032,0,28,255.16162610947467,3,477,163.04349785503803,0,276,192.99068263644529,32,79,312.76811772603577,0,194
6,True,False,,duration_elapsed,783,26.077354259951594,230.45572327295673,0.21238548151345277,4.869643139174653,8.840911004520171,28,28,0.035759897828863345,1.139373779296875,0.6939637320382255,788,392,0.5006385696040868,2.671119622556947,81.5130386352539,10.12455981263727,192,41,215.78979987821245,0,41,320.388783124221,1,281,143.73157993812498,0,283,211.55212860053925,27,39,225.65886128419896,0,144
7,True,False,,duration_elapsed,784,26.103055507970534,267.9662490344956,0.23496820850818761,5.647839141318727,11.202131243133808,1,1,0.0012755102040816326,0.0901031494140625,0.0901031494140625,851,535,0.6823979591836735,3.1294886627367564,77.04974365234375,11.936150509434286,67,61,199.33667549947373,0,5,334.7260797981483,1,401,196.77408415801682,0,285,264.9553455765449,0,50,313.5785692072326,0,110
8,True,False,,duration_elapsed,784,26.116731546549477,274.015635023554,0.2492739392998634,5.654786087748248,12.079168754351553,52,52,0.0663265306122449,3.2023391723632812,1.3173795846792369,1193,606,0.7729591836734694,4.4158205004370945,78.23565673828125,16.366972820769647,84,75,312.08925895242015,0,52,266.31969605495317,0,447,199.4966390544899,0,408,255.94856105247612,52,69,319.0429128309601,0,217
9,True,False,,duration_elapsed,783,26.090890971849827,266.8157174580784,0.17339116728269272,5.53608308746819,6.3484696427564415,6,6,0.007662835249042145,0.3191070556640625,0.20177586873372397,369,265,0.3384418901660281,0.9873398207156594,56.521812438964844,3.676082792069662,1,0,193.73430054448946,0,0,509.57778925757253,6,205,166.8352546833023,0,164,142.16126292676208,0,0,103.47369723303471,0,0
10,True,False,,duration_elapsed,782,26.04297399091214,315.2970969479817,0.2286703720296688,6.715770128952169,10.167311300304053,18,18,0.023017902813299233,1.0011367797851562,0.29098765055338544,660,429,0.5485933503836317,2.5389146936519067,51.6937141418457,9.403744478406368,250,0,465.72892192982994,0,19,422.28999620502015,18,377,186.7972440459164,0,260,126.99210522163564,0,4,225.40812303596024,0,0
