trial,cycle,observation_time_s,command_time_s,success_marker,measured_shoulder_pan_deg,measured_shoulder_pan_rad,measured_shoulder_lift_deg,measured_shoulder_lift_rad,measured_elbow_flex_deg,measured_elbow_flex_rad,measured_wrist_flex_deg,measured_wrist_flex_rad,measured_wrist_roll_deg,measured_wrist_roll_rad,measured_gripper_hw,measured_gripper_norm,policy_shoulder_pan_rad,policy_shoulder_lift_rad,policy_elbow_flex_rad,policy_wrist_flex_rad,policy_wrist_roll_rad,policy_gripper_norm,sent_shoulder_pan_deg,sent_shoulder_pan_rad,sent_shoulder_lift_deg,sent_shoulder_lift_rad,sent_elbow_flex_deg,sent_elbow_flex_rad,sent_wrist_flex_deg,sent_wrist_flex_rad,sent_wrist_roll_deg,sent_wrist_roll_rad,sent_gripper_hw,sent_gripper_norm,gripper_hard_clamped,gripper_step_clamped,gripper_correction_hw,urdf_violation_shoulder_pan_deg,step_violation_shoulder_pan_deg,safety_correction_shoulder_pan_deg,urdf_violation_shoulder_lift_deg,step_violation_shoulder_lift_deg,safety_correction_shoulder_lift_deg,urdf_violation_elbow_flex_deg,step_violation_elbow_flex_deg,safety_correction_elbow_flex_deg,urdf_violation_wrist_flex_deg,step_violation_wrist_flex_deg,safety_correction_wrist_flex_deg,urdf_violation_wrist_roll_deg,step_violation_wrist_roll_deg,safety_correction_wrist_roll_deg
7,0,0.001444839988835156,0.16950247099157423,False,-8.835165023803711,-0.15420271456241608,-94.63735961914062,-1.6517335176467896,91.47252655029297,1.5964967012405396,79.6043930053711,1.3893587589263916,94.06593322753906,1.641760230064392,1.9230769230769231,0.019230769230769232,-0.15076786279678345,-1.7028192281723022,1.5810831785202026,1.383312702178955,1.6358389854431152,0.011544730514287949,-8.638361930847168,-0.1507678576722178,-97.56434631347656,-1.7028190757261576,90.58938598632812,1.5810830528214366,79.25797271728516,1.3833125823724628,93.7266616821289,1.6358388432559563,1.1544730514287949,0.011544730514287949,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,0.17107320192735642,0.18379978591110557,False,-8.835165023803711,-0.15420271456241608,-94.63735961914062,-1.6517335176467896,91.47252655029297,1.5964967012405396,79.6043930053711,1.3893587589263916,94.06593322753906,1.641760230064392,1.9230769230769231,0.019230769230769232,-0.15707968175411224,-1.6990505456924438,1.5814101696014404,1.3825206756591797,1.6388602256774902,0.012518249452114105,-9.000001907348633,-0.15707966596900327,-97.34841918945312,-1.6990504364675867,90.60812377929688,1.5814100890032985,79.21259307861328,1.3825205582642732,93.89977264404297,1.6388601995126513,1.2518249452114105,0.012518249452114105,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0.20439743995666504,0.2172475189436227,False,-8.835165023803711,-0.15420271456241608,-94.63735961914062,-1.6517335176467896,91.47252655029297,1.5964967012405396,79.6043930053711,1.3893587589263916,94.06593322753906,1.641760230064392,1.9230769230769231,0.019230769230769232,-0.1545805037021637,-1.6894232034683228,1.5760023593902588,1.381400227546692,1.6354262828826904,0.012132834643125534,-8.856809616088867,-0.15458048902304566,-96.79681396484375,-1.68942310912695,90.29827880859375,1.5760022740937836,79.14839935302734,1.3814001663936768,93.70301818847656,1.6354261864450486,1.2132834643125534,0.012132834643125534,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3,0.23776654188986868,0.24854268692433834,False,-8.835165023803711,-0.15420271456241608,-95.25274658203125,-1.6624740362167358,91.47252655029297,1.5964967012405396,79.6043930053711,1.3893587589263916,94.06593322753906,1.641760230064392,1.7857142857142856,0.017857142857142856,-0.15525445342063904,-1.7099391222000122,1.5810691118240356,1.381947636604309,1.6386744976043701,0.013462081551551819,-8.895424842834473,-0.15525445187116066,-97.9722900390625,-1.7099390369004845,90.58858489990234,1.5810690712257138,79.17976379394531,1.3819475791557427,93.88912963867188,1.638674444026618,1.3462081551551819,0.013462081551551819,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4,0.27100380591582507,0.28337939898483455,False,-8.923076629638672,-0.15573707222938538,-95.6043930053711,-1.6686114072799683,91.47252655029297,1.5964967012405396,79.6043930053711,1.3893587589263916,94.06593322753906,1.641760230064392,1.7170329670329672,0.017170329670329672,-0.15479248762130737,-1.7166907787322998,1.5887516736984253,1.3818362951278687,1.6345123052597046,0.01480129361152649,-8.868955612182617,-0.154792476645816,-98.359130859375,-1.7166906828960535,91.02876281738281,1.5887516251803198,79.17338562011719,1.3818362590221773,93.65065002441406,1.6345121895589334,1.480129361152649,0.01480129361152649,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,0.3046682629501447,0.31585317791905254,False,-8.923076629638672,-0.15573707222938538,-95.78022003173828,-1.671680212020874,91.47252655029297,1.5964967012405396,79.6043930053711,1.3893587589263916,94.06593322753906,1.641760230064392,1.7170329670329672,0.017170329670329672,-0.15551675856113434,-1.727440595626831,1.5956236124038696,1.3795459270477295,1.6365514993667603,0.015329986810684204,-8.910453796386719,-0.15551675659377664,-98.97505187988281,-1.7274405326361584,91.42249298095703,1.5956235128991059,79.04215240478516,1.3795458073266547,93.76748657226562,1.636551372005607,1.5329986810684204,0.015329986810684204,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,0.33856384200043976,0.3498238509055227,False,-8.923076629638672,-0.15573707222938538,-96.3956069946289,-1.6824207305908203,91.47252655029297,1.5964967012405396,79.6043930053711,1.3893587589263916,94.06593322753906,1.641760230064392,1.7170329670329672,0.017170329670329672,-0.15694577991962433,-1.7077536582946777,1.596213459968567,1.3789260387420654,1.6340749263763428,0.015023954212665558,-8.992330551147461,-0.15694577554519956,-97.8470687866211,-1.707753513751911,91.45629119873047,1.5962134030805584,79.00663757324219,1.3789259565829388,93.62559509277344,1.6340748985079423,1.5023954212665558,0.015023954212665558,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.3718468719162047,0.3845347249880433,False,-8.923076629638672,-0.15573707222938538,-96.83516693115234,-1.6900924444198608,91.47252655029297,1.5964967012405396,79.51648712158203,1.387824535369873,94.06593322753906,1.641760230064392,1.7170329670329672,0.017170329670329672,-0.14953042566776276,-1.7223036289215088,1.6023298501968384,1.3799958229064941,1.6313319206237793,0.015428487211465836,-8.567461967468262,-0.14953041987171248,-98.68072509765625,-1.7223035612095046,91.80673217773438,1.6023297519980888,79.06793212890625,1.3799957483928236,93.46842956542969,1.6313318425851608,1.5428487211465836,0.015428487211465836,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,0.4053592860000208,0.41755855991505086,False,-8.923076629638672,-0.15573707222938538,-96.92308044433594,-1.6916269063949585,91.47252655029297,1.5964967012405396,79.51648712158203,1.387824535369873,94.06593322753906,1.641760230064392,1.7170329670329672,0.017170329670329672,-0.16023439168930054,-1.7085806131362915,1.6010507345199585,1.3793087005615234,1.634819507598877,0.01584126427769661,-9.180753707885742,-0.1602343800172839,-97.89445495605469,-1.708580558428435,91.73344421386719,1.6010506357265237,79.028564453125,1.3793086528315832,93.66825103759766,1.634819385190674,1.584126427769661,0.01584126427769661,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9,0.4390333138871938,0.45094326592516154,False,-8.923076629638672,-0.15573707222938538,-96.92308044433594,-1.6916269063949585,91.47252655029297,1.5964967012405396,79.51648712158203,1.387824535369873,94.06593322753906,1.641760230064392,1.7170329670329672,0.017170329670329672,-0.15618915855884552,-1.7114254236221313,1.6002997159957886,1.3792108297348022,1.6369614601135254,0.015098899602890015,-8.948979377746582,-0.15618915483475124,-98.05744934082031,-1.7114253471048577,91.69041442871094,1.6002996242991214,79.02295684814453,1.3792107816615227,93.79097747802734,1.6369613656554247,1.5098899602890015,0.015098899602890015,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10,0.47268401191104203,0.48470765294041485,False,-8.923076629638672,-0.15573707222938538,-97.0988998413086,-1.6946954727172852,91.47252655029297,1.5964967012405396,79.51648712158203,1.387824535369873,94.06593322753906,1.641760230064392,1.7170329670329672,0.017170329670329672,-0.15667131543159485,-1.7001947164535522,1.5987266302108765,1.3788751363754272,1.6434063911437988,0.015384096652269363,-8.976604461669922,-0.15667130350535327,-97.41397857666016,-1.7001946636299392,91.60028076171875,1.5987264950432116,79.00372314453125,1.3788750902061182,94.16024780273438,1.643406348651471,1.5384096652269363,0.015384096652269363,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
