trial,completed,success,success_time_s,termination_reason,num_cycles,effective_observation_hz,overall_rms_jerk_rad_s3,rms_velocity_rad_s,rms_acceleration_rad_s2,joint_path_length_rad,urdf_violation_joint_count,urdf_violation_cycle_count,urdf_violation_cycle_rate,max_urdf_violation_deg,mean_urdf_violation_deg_over_violations,step_clamp_joint_count,step_clamp_cycle_count,step_clamp_cycle_rate,mean_safety_correction_deg,max_safety_correction_deg,mean_safety_correction_l2_deg,gripper_hard_clamp_count,gripper_step_clamp_count,shoulder_pan_rms_jerk_rad_s3,shoulder_pan_urdf_violation_count,shoulder_pan_step_clamp_count,shoulder_lift_rms_jerk_rad_s3,shoulder_lift_urdf_violation_count,shoulder_lift_step_clamp_count,elbow_flex_rms_jerk_rad_s3,elbow_flex_urdf_violation_count,elbow_flex_step_clamp_count,wrist_flex_rms_jerk_rad_s3,wrist_flex_urdf_violation_count,wrist_flex_step_clamp_count,wrist_roll_rms_jerk_rad_s3,wrist_roll_urdf_violation_count,wrist_roll_step_clamp_count
1,True,False,,duration_elapsed,781,26.047051934722894,144.73694946910535,0.10596024856980435,3.0446393684859765,2.9271909053820933,9,9,0.011523687580025609,0.59783935546875,0.19769795735677084,202,150,0.19206145966709348,0.46929282311746007,48.53010940551758,1.842655667792959,55,0,63.77937729369323,0,0,299.0192397840635,9,96,102.94359156560341,0,106,6.642706962373818,0,0,24.941920112281345,0,0
2,True,False,,duration_elapsed,788,26.236174715484825,175.15787153984854,0.11106026542028041,3.6005232208168647,2.947447332497778,151,151,0.1916243654822335,1.395111083984375,0.3886483299811155,146,109,0.1383248730964467,0.38111447077717275,49.00193405151367,1.4421771725468733,146,0,106.99283408536061,0,0,356.31185197228007,151,80,106.05868195122136,0,66,25.610179832036657,0,0,55.60100792303342,0,0
3,True,False,,duration_elapsed,788,26.260851053292836,200.06709141777594,0.1422805920655612,4.159476875779244,4.753062295514649,7,7,0.008883248730964468,0.40850067138671875,0.2073091779436384,303,220,0.27918781725888325,1.0619134215534036,64.09127044677734,3.935786262471919,107,0,181.8214725398015,0,0,369.44381619123936,7,170,125.72573951686293,0,133,72.97805911431453,0,0,97.229961710376,0,0
4,True,False,,duration_elapsed,788,26.245790065535797,259.1854559334623,0.23484424408661408,5.522579775126586,11.483717400929413,3,3,0.0038071065989847717,0.22588348388671875,0.11606852213541667,1106,668,0.8477157360406091,4.128729747621541,62.32727813720703,15.72964582186327,201,74,272.43840431001735,0,10,332.98062941265016,3,457,131.737893908319,0,467,204.87743220044922,0,24,302.4187233186816,0,148
5,True,False,,duration_elapsed,788,26.257672133286384,273.06935904096787,0.21390852981379885,5.934494798552946,10.024946075334277,2,2,0.0025380710659898475,0.22684478759765625,0.12853240966796875,797,557,0.7068527918781726,2.8914300618437947,69.17015838623047,10.959779189570694,522,0,295.2715899875798,0,0,464.2615267184443,2,426,161.02636548623917,0,366,115.65408188796413,0,5,175.51336174615102,0,0
6,True,False,,duration_elapsed,788,26.23585243863795,198.06146041947684,0.14762419354321824,4.143930207745017,5.293421938933085,22,22,0.027918781725888325,0.6982192993164062,0.20015785910866477,369,267,0.33883248730964466,0.76424341637471,42.36800003051758,3.1057923992198027,455,0,80.14579878193122,0,0,400.58701022752825,22,199,131.18919176064634,0,170,102.88872565966136,0,0,38.10137516383822,0,0
7,True,False,,duration_elapsed,787,26.22122044206552,242.86742401491804,0.19274338196606947,5.228388616168401,8.283747993040752,5,5,0.0063532401524777635,0.6825408935546875,0.24452362060546876,650,460,0.5844980940279543,2.3795070051995437,65.36656188964844,9.034268582214384,27,0,229.07346378479443,0,0,448.9450426511377,5,339,144.34601135396582,0,311,113.91666836627849,0,0,84.16559143345034,0,0
8,True,False,,duration_elapsed,788,26.242689688429607,233.81370763000626,0.1661134384127627,4.879404876507925,6.109170114210563,32,32,0.04060913705583756,0.8138580322265625,0.1930100917816162,428,299,0.37944162436548223,1.0348895271417453,47.41681671142578,3.9803048340561498,158,0,76.57455758000725,0,0,495.2364121264878,32,241,133.97553942132845,0,187,56.613825273205656,0,0,32.66362255872677,0,0
9,True,False,,duration_elapsed,788,26.239452752453523,234.817027818313,0.2022188486640827,4.994403235281287,9.161460751543766,2,2,0.0025380710659898475,0.5014114379882812,0.3936767578125,728,492,0.6243654822335025,2.5545506917885716,59.61485290527344,9.556423096260069,62,0,123.14295374188788,0,0,478.9869749360966,2,437,132.5982073090438,0,291,79.3098807689594,0,0,85.03018160197061,0,0
10,True,False,,duration_elapsed,788,26.241134112285707,230.9071791011911,0.16541506691956195,4.845276036306106,6.123354001149949,20,20,0.025380710659898477,1.0126113891601562,0.33827552795410154,369,251,0.31852791878172587,1.1313921158688927,51.75562286376953,4.171387315930346,52,0,161.35867417214462,0,0,468.09508173826646,20,212,121.22810480273198,0,157,32.63010781706369,0,0,75.36592196733204,0,0
